id,edicao,numero,enunciado,alternativas,area_conhecimento,area,subarea,gabarito,atributo_rag,ehQuestaoProblema
2002-01,2002,1,Pode-se afirmar que o gráfico da função $y = 2 + \frac{1}{x-1}$ é o gráfico da função $y = \frac{1}{x}$,"['a) transladado uma unidade para a direita e duas unidades para cima;', 'b) transladado uma unidade para a direita e duas unidades para baixo;', 'c) transladado uma unidade para a esquerda e duas unidades para cima;', 'd) transladado uma unidade para a esquerda e duas unidades para baixo;', 'e) nenhuma das anteriores.']",Matemática,Geometria Analítica,Reta no plano e no espaço,A,matematica - geometria analitica - reta no plano e no espaco,False
2002-02,2002,2,A derivada da função $f(x) = x^x$ é igual a,"['a) $xx^{x-1}$', 'b) $x^x$', 'c) $x^x \\ln(x)$', 'd) $x^x(\\ln(x) + 1)$', 'e) $x^x(\\ln(x) + x)$']",Matemática,Cálculo Diferencial e Integral,Funções Reais de uma Variável: Continuidade e Diferenciabilidade,D,matematica - calculo diferencial e integral - funcoes reais de uma variavel: continuidade e diferenciabilidade,False
2002-03,2002,3,"Seja $n$ um número inteiro positivo. Considere a função $f$ definida recursivamente por
$$
f(n) = \begin{cases}0 & \text{se $n = 1$} \\
f(\lfloor \frac{n}{2} \rfloor) + 1 & \text{se $n > 1$} \end{cases}
$$
onde $\lfloor k \rfloor$ é o maior inteiro menor ou igual a $k$. O valor de $f(25)$ é igual a","['a) 5', 'b) 4', 'c) 6', 'd) 3', 'e) 2']",Matemática,Matemática Discreta,"Iteração, Indução e Recursão",B,"matematica - matematica discreta - iteracao, inducao e recursao",False
2002-04,2002,4,"Para cada $n \in \mathbb{N}$ seja $D_n = (0, 1/n)$, onde $(0, 1/n)$ representa o intervalo aberto de extremos $0$ e $1/n$. O conjunto diferença $D_{3} - D_{20}$ é igual a:","['a) $D_3$', 'b) $D_{20}$', 'c) $(1/20, 1/3)$', 'd) $[1/20, 1/3)$', 'e) $D_{20} \\cup D_3$']",Matemática,Matemática Discreta,Conjuntos e Álgebra de Conjuntos como uma Teoria Axiomática,D,matematica - matematica discreta - conjuntos e algebra de conjuntos como uma teoria axiomatica,False
2002-05,2002,5,"Todos os convidados presentes num jantar tomam chá ou café. Treze convidados bebem café, dez bebem chá e 4 bebem chá e café. Quantas pessoas tem nesse jantar?","['a) 19', 'b) 27', 'c) 23', 'd) 15', 'e) 10']",Matemática,Análise Combinatória,Princípio de Inclusão e Exclusão,A,matematica - analise combinatoria - principio de inclusao e exclusao,False
2002-06,2002,6,"A sequência $x$ é definida recursivamente por
$$
\begin{cases}x_0 &= a/2 \\ x_{n+1} &= (x_n + a/x_n)/2 & \text{para $n  \geq  0$}
\end{cases}
$$
onde $a$ é um número real maior do que 1. Se $\lim_{n \to \infty} x_n = L$ podemos afirmar que","['a) $L = 1$', 'b) $L = 1/a$', 'c) $L = a$', 'd) $L = 1/2a$', 'e) $L = \\sqrt{a}$']",Matemática,Cálculo Diferencial e Integral,Limites de Funções e de Sequências,E,matematica - calculo diferencial e integral - limites de funcoes e de sequencias,False
2002-07,2002,7,"Seja $f : \mathbb{R} \to \mathbb{R}$ derivável. Se existem $a, b \in \mathbb{R}$ tal que $f (a)f (b) < 0$ e $f'(x) \neq 0$ para todo $x \in (a, b)$, podemos afirmar que no intervalo $(a, b)$ a equação $f(x) = 0$ tem","['a) duas raízes reais', 'b) nenhuma raiz real', 'c) uma única raiz real', 'd) uma raiz imaginária', 'e) somente raízes imaginárias']",Matemática,Cálculo Diferencial e Integral,Método de Newton para o Cálculo de Raízes e de Máximos e Mínimos,C,matematica - calculo diferencial e integral - metodo de newton para o calculo de raizes e de maximos e minimos,False
2002-08,2002,8,"Seja $g : \mathbb{R} \to \mathbb{R}$ contínua e $f(x) = g(x) - x$. Definimos a sequência ($x_n$) da seguinte maneira
$$
\begin{cases}x_0 & = 1 \\ x_n & = g(x_{n-1}) & \text{para $n  \geq  1$}
\end{cases}
$$
Se $\lim_{n\to\infty} x_n = L$ podemos afirmar que","['a) $L$ é uma raiz de $f(x) = 0$', 'a) $L$ é uma raiz de $g(x) = 0$', 'c) $g(L) = 1$', 'd) $f (L) = L$', 'e) nenhuma das anteriores']",Matemática,Cálculo Diferencial e Integral,Limites de Funções e de Sequências,A,matematica - calculo diferencial e integral - limites de funcoes e de sequencias,False
2002-09,2002,9,Assinale a proposição verdadeira,"['a) Se $x$ é um número real tal que $x^2 \\leq 4$ então $x \\leq 2$ e $x \\leq -2$', 'b) Se $x$ e $y$ são números reais tais que $x < y$ então $x^2 < y^2$', 'c) Se $x + y$ é um número racional então $x$ e $y$ são números racionais', 'd) Se $x < -4$ ou $x > 1$ então $\\frac{2x + 3}{x - 1} > 1$', 'e) nenhuma das anteriores']",Matemática,Lógica Matemática,Relações de Consequência,D,matematica - logica matematica - relacoes de consequencia,False
2002-10,2002,10,"Assinale o argumento válido, onde $S_1$, $S_2$ indicam premissas e $S$ a conclusão:","['a) \n- $S_1$: Se o cavalo estiver cansado então ele perderá a corrida\n* $S_2$: O cavalo estava descansado\n* $S$: O cavalo ganhou a corrida', 'b) \n- $S_1$: Se o cavalo estiver cansado então ele perderá a corrida\n- $S_2$: O cavalo ganhou a corrida\n- $S$: O cavalo estava descansado', 'c) \n- $S_1$: Se o cavalo estiver cansado então ele perderá a corrida\n- $S_2$: O cavalo perdeu a corrida\n- $S$: O cavalo estava cansado', 'd) \n- $S_1$: Se o cavalo estiver cansado então ele perderá a corrida\n- $S_2$: O cavalo estava descansado\n- $S$: O cavalo perdeu a corrida', 'e) nenhuma das anteriores']",Matemática,Lógica Matemática,Lógica Proposicional e de Predicados,B,matematica - logica matematica - logica proposicional e de predicados,False
