id,enunciado,av2_ehQuestaoProblema
2013-13,"Admita que um novo conectivo binário, rotulado pelo símbolo $\updownarrow$, seja definido pela tabela-verdade a seguir:

|$P$|$Q$|$P \updownarrow Q$|
|-|-|-|
|V|V|F|
|V|F|V|
|F|V|F|
|F|F|F|

Com base nessa definição e nas operações usuais com os conectivos $\lor$, $\land$ e $\sim$, considere as afirmativas a seguir:

I. $P \updownarrow Q$ é equivalente a $Q \updownarrow P$. \
II. $(P \updownarrow Q) \lor (Q \updownarrow P)$ não é uma contingência. \
III. $(Q \updownarrow P) \land (P \updownarrow Q)$ é uma contradição. \
IV. $ \sim [(Q \updownarrow P) \land (P \updownarrow Q)]$ é uma tautologia. 

Assinale a alternativa correta.",TRUE
2018-07,Determine a matriz inversa de $A = \frac{1}{13}\begin{pmatrix}1 & 3 & 5\\ 0 & -1 & 4\\ 1 & 1 & 0\end{pmatrix}$:,FALSE
2007-30,"Suponha que tenhamos à nossa disposição um algoritmo `MULT` que efetua a multiplicação de duas matrizes $ A_{p \times q} $ e $ B_{q \times r} $ dadas como entrada com $ p \times q \times r $ multiplicações de escalares. Esse algoritmo é, então, usado para definir o seguinte problema de decisão chamado `MULTMAT`:

**ENTRADA**: vetor $ p[0], p[1], \ldots, p[n] $, um inteiro positivo $ m $.\
**QUESTÃO**: existe uma sequência de multiplicações de duas matrizes com o algoritmo `MULT` que produz o resultado de $ A_1A_2 \cdots A_n $, em que cada $ A_i $, para todo $ i \in \{ 1, 2, \ldots, n \} $, é uma matriz de dimensões $ p[i - 1] \times p[i] $, com $ m $ multiplicações de escalares no máximo?

Considere as seguintes afirmativas.

**I.** O algoritmo abaixo demonstra que `MULTMAT` está na classe de problemas $ P $.
```
Chamada: MULTMAT(p, m)
1: q ← Q(p, 0, n)
2: se q \leq m então
3:     retorna “Sim”
4: retorna “Não”

Chamada: Q(p, i, j)
5: se i = j então
6:     retorna 0
7: q ← \infty
8: para k ← i, i + 1, ..., j - 1 faça
9:     r ← Q(p, i, k) + Q(p, k + 1, j) + p[i - 1]p[k]p[j]
10:    se r < q então
11:        q ← r
12: retorna q
```
**II.** `MULTMAT` está na classe de problemas $ NP $.\
**III.** Se I e II são corretas, então $P = NP$.

Assinale a alternativa que apresenta a(s) afirmativa(s) CORRETA(S).",TRUE
2017-69,O termo Aprendizado de Máquina pode ser corretamente definido como:,FALSE
2008-26,"Em um grafo $G(V,E)$, o grau de um vértice é o número de vértices adjacentes a $v$.

A esse respeito, assinale a afirmativa CORRETA.",FALSE
2016-60,"Em relação às características do protocolo IP, analise as afirmativas abaixo e assinale V, se verdadeiras, ou F, se falsas.
- ( ) O protocolo IP garante a entrega de mensagens.
- ( ) O endereçamento IP é hierárquico.
- ( ) O protocolo IP garante que não há duplicação de pacotes. 

A ordem correta de preenchimento dos parênteses, de cima para baixo, é:",FALSE
2016-48,"Analise as seguintes definições de *pipeline* de instruções simples, superescalar e *multithreading* simultâneo:

I. *Pipeline* instruções simples: instruções individuais que são executadas através de um *pipeline* de estágios, de maneira que, enquanto uma instrução está sendo executada em um estágio, outra instrução está sendo executada em outro estágio do *pipeline*.\
II. Superescalar: um *pipeline* é construído por meio da replicação de recursos de execução, o que permite a execução paralela de instruções em *pipelines* paralelos.\
III. *Multithreading* simultâneo (SMT): bancos de registros são replicados para que múltiplas threads possam compartilhar o uso dos recursos de *pipelines*.

Quais estão corretas?",FALSE
2022-03,"Assinale a alternativa que indica o produto escalar e o produto vetorial dos vetores
$\vec{u} =(3,-1,2)$ e $\vec{v} =(1,-2,-1)$, respectivamente.",FALSE
2022-61,"A codificação ______________ tem como estratégia realizar a decomposição de uma imagem monocromática ou colorida em várias imagens binárias. Cada uma dessas imagens binárias é comprimida utilizando métodos de compressão binária.

Assinale a alternativa que preenche corretamente a lacuna do trecho acima.",FALSE
2007-24,"Considere um arquivo texto que contenha uma mensagem de 10.000 caracteres utilizando os caracteres A, B e C, com probabilidades 0,1, 0,1 e 0,8 respectivamente. Ao utilizar o *algoritmo de Huffman* para compressão/codificação do referido texto, as seguintes afirmativas são apresentadas.

I. O comprimento médio dos códigos para os referidos caracteres é 1, 2. \
II. Se forem utilizados todos os pares possíveis de símbolos para a construção da
árvore de *Huffman*, então o comprimento médio dos códigos para os referidos pares é menor que 1, 2 por caractere. \
III. A codificação de *Huffman* a partir de todos os pares possíveis de caracteres sempre produz códigos de menor comprimento médio.

Os dados acima permitem afirmar que",TRUE
