id,enunciado,comp_decomposicao,comp_reconhecimento_padroes,comp_abstracao,comp_algoritmos,comp_generalizacao
2008-03,"Considere as imagens $I_1$, dada por $I_1(i,j) = 9((i+j)\mod 2)$, e $I_2$, \, dada por $I_2(i,j) = 9((i+j)\mod 3)$, 
representadas nas tabelas abaixo para dimensões $ 5 \times 5 $:\
Imagem $ I_1 $:

| 0 | 9 | 0 | 9 | 0 |
|---|---|---|---|---|
| 9 | 0 | 9 | 0 | 9 |
| 0 | 9 | 0 | 9 | 0 |
| 9 | 0 | 9 | 0 | 9 |
| 0 | 9 | 0 | 9 | 0 |

Imagem $ I_2 $:

| 0 | 9 | 18 | 0 | 9 |
|---|---|---|---|---|
| 9 | 18 | 0 | 9 | 18 |
| 18 | 0 | 9 | 18 | 0 |
| 0 | 9 | 18 | 0 | 9 |
| 9 | 18 | 0 | 9 | 18 |

Dada a janela $ V(i,j) $ de dimensões $ 3 \times 3 $ centrada no pixel $ (i,j) $ de uma imagem $ I $, considere os filtros que atribuem a $ (i,j) $ o valor dado pela média e pela mediana dos valores de $ I $ em $ V(i,j) $.",TRUE,FALSE,FALSE,TRUE,FALSE
2015-31,"Considere o código em linguagem C a seguir.
```
void funcao (float n) { }
main() {
long numero;
funcao (numero);
}
```
No referido código, a conversão implícita de tipos é um polimorfismo chamado",FALSE,TRUE,TRUE,FALSE,FALSE
2023-54,"Seja o alfabeto $A = \{b, k, z\}$. Expressões regulares sobre $A$ são definidas (da forma habitual) como cadeias (*strings*) contendo símbolos do alfabeto dado pela união de $A$ com o conjunto $\{ (, ), *, | \}$. Assim: \
\* $()$ e $e$, as quais denotam respectivamente a linguagem vazia e a linguagem que contém apenas a cadeia vazia. \
\* Cada símbolo do alfabeto é uma expressão regular, denotando a linguagem formada pelo símbolo. \
\* Dadas expressões regulares $R$, $R1$ e $R2$, notamos com $R^*$, $(R1 | R2)$ e $R1 R2$ as expressões regulares, representando, respectivamente, as operações de Estrela de Kleene (repetição), Escolha e Concatenação.

A notação $R?$ é usada como abreviatura para $(R | e )$, marcando que $R$ é opcional. Sejam os Tokens de uma certa linguagem definidos pelas expressões regulares sobre $A$ a seguir:
|Token|Expressão Regular|
|-|-|
|T1|$k? b? z z^* k$|
|T2|$z? k? b b^* z$|
|T3|$b? z? k k^* b$|

Seja um analisador léxico que reconhece os tokens acima, procurando sempre casar a maior parte possível da entrada (maior prefixo possível). Caso a cadeia $kkbzkbbkkb$ seja dada como entrada ao analisador léxico, qual será a sequência de tokens devolvida por ele?",TRUE,TRUE,FALSE,TRUE,FALSE
2014-21,"Considere o pseudocódigo a seguir.

```
    HUFFMAN(C)
(1) n = |C|
(2) Q = C
(3) for i=1 to n-1
(4)    alocar um novo nó z
(5)    z.esquerda = x = EXTRAIR_MIN(Q)
(6)    z.direita = y = EXTRAIR_MIN(Q)
(7)    z.freq = x.freq + y.freq
(8)    INSERIR(Q, z)
(9) return EXTRAIR_MIN(Q) //retorna a raiz da árvore
```

Sobre o pseudocódigo, é correto afirmar que é um algoritmo",FALSE,TRUE,TRUE,TRUE,FALSE
2019-47,"Seja um circuito lógico com três entradas, A, B, C, e uma saída S. Considerando que o valor da saída S é igual ao valor da entrada A quando as entradas B e C estão no mesmo nível lógico, e que o valor da saída S é igual ao inverso do valor da entrada A quando as entradas B e C estão em níveis lógicos opostos, assinale a alternativa que apresenta a expressão lógica correspondente ao circuito.",FALSE,FALSE,TRUE,FALSE,FALSE
2017-21,"Suponha que, ao invés de dividir em duas partes, foi criada uma versão do merge- sort que divida a entrada em quatro partes, ordene cada quarta-parte, e, finalmente, combine essas quatro partes usando um procedimento O(n). A equação de recorrência que descreve o tempo de execução desse algoritmo é:",TRUE,TRUE,TRUE,TRUE,TRUE
2018-27,"Considere o seguinte código em Linguagem C:
```

      int a = 7, b = 9, c = -1;
      int *ptr, *pty, *ptx;
         ptr = &a;
         ptx = &b;
         pty = &c;

         printf (""%d %d %d %d %d %d \n"", a, b, c,
      *ptr, *pty, *ptx);
         a = *ptr + *pty;
         b = *ptx + 1;
         printf (""%d %d %d %d %d %d \n"", a, b, c,
      *ptr, *pty, *ptx);
   

```

Assinale a alternativa que corresponde à saída impressa na tela.",FALSE,FALSE,FALSE,TRUE,FALSE
2017-44,"Considere que um processador tenha 16 bits de endereçamento de byte. Sua cache possui mapeamento direto com uma capacidade de 128 palavras e blocos de 8 palavras. O endereço se divide em campos para acesso à cache de acordo com a seguinte representação:
```
| Nome                         | Símbolo |
|------------------------------|---------|
| Etiqueta                     | i       |
| Índice                       | ii      |
| Palavra dentro do bloco      | iii     |
| Byte dentro da palavra       | iv      |
```

O número de bits de cada um dos campos acima, ou seja, os valores de i, ii, iii e iv são, respectivamente:",FALSE,FALSE,FALSE,FALSE,FALSE
2010-34,"Considere o conjunto de operações descritas a seguir, em linguagem de transferência entre registradores.
```
F1: REM ← CP;
F2: RDM ← M[REM], CP ← CP + 1;;
F3: RI ← RDM; 
```
Dados: `REM` é o registrador de endereços da memória; `RDM` é o registrador de dados da memória; `RI` é o registrador de instruções; `CP` é o contador de programa e `M[X]` é o conteúdo de memória indicado pelo endereço `X`. 

Assinale a alternativa que indica a que fase do processamento de uma instrução em uma máquina *pipeline* corresponde o conjunto de operações descrito.",FALSE,FALSE,FALSE,TRUE,FALSE
2005-25,"Uma lista ligada possui a seguinte definição de nó:
```
type ap = ↑no;
     no = record
             info : integer;
             link : ap
          end;
```
Como o procedimento a seguir deve ser complementado para inverter uma lista ligada?
```
procedure inverte(var h: ↑no);
    var p,q : ↑no;
    begin
        if h <> NIL
            then begin
                p := h↑.link;
                h↑.link := NIL;
                while p <> NIL do
                    begin
                    ________;
                    ________;
                    ________;
                    ________;
                    end
                end
    end;
```",FALSE,FALSE,FALSE,TRUE,FALSE
2009-47,"Seja o programa em Prolog a seguir:
```
pai(abel, bernardo).
pai(abel, bia).
mae(ana, bernardo).
mae(ana, bia).

parenteSimples(X,Y) :- pai(xX,Y).
parenteSimples(X,Y) :- mae(X,Y).

irmao(X,Y) :- parenteSimples(Z,X), parenteSimples(Z,Y),X \=Y.
```
Qual a resposta para a entrada:

```
irmao(X,Y).
```

Supondo que para cada resposta do programa é digitado “;” (ponto e vírgula).",TRUE,FALSE,FALSE,TRUE,FALSE
2018-50,"Qual o número total de processos criados com a execução do programa a seguir?
Considere que todas as operações executadas serão realizadas com sucesso.
```

      int main (void){
         unsigned long int i;
         for(i=0; i<6;i++)
            if( fork() >= 0 )
               continue;
            else break;
      }

```",FALSE,FALSE,FALSE,TRUE,FALSE
