id,enunciado
2002-57,"Sistemas de processamento de transações, tais como sistemas de reservas aéreas, devem prover um mecanismo que garanta que cada transação não é afetada por outras transações que possam estar ocorrendo ao mesmo tempo. Transações de duas fases obedecem a um protocolo que garante essa atomicidade. Em transações de duas fases:"
2003-01,"Seja $f : \mathbb{R} \to \mathbb{R}$ definida por
$$
f(x) = \begin{cases}
x^3 - 2x^2 - 2 &, \text{se $x > -1$} \\
x - 3 & , \text{se $x \leq -1$}
\end{cases}
$$
Se $L = \lim_{n\to+\infty}f(a_n)$, com $a_n = -1 + \frac{1}{n}$, é correto afirmar que"
2003-17,"Assinale o argumento válido, onde $S_1$ e $S_2$ indicam premissas e $C$ a conclusão."
2005-07,"Considere as afirmações a seguir:

(I) Se $f : \mathbb{R} \rightarrow \mathbb{R}$ é uma função tal que $f(x) = f(-x)$ para todo $x \in \mathbb{R}$ e $f$ é derivável no ponto $a = 0$, então $f'(0) = 0$. \
(II) Se $\lim_{n \rightarrow 0} b_n = + \infty$ e $\lim_{n \rightarrow 0} a_n = 0$, então $\lim_{n \rightarrow 0} a_n b_n$ não existe. \
(III) $\lim_{n \to 3} \lceil n \rceil = 3$. \
(IV) Se $c \in [a,b]$ é um máximo local de uma função $f: [a, b] \rightarrow \mathbb{R}$ então $f’(c) = 0$. \
(V) Se $\lim_{n \to \infty}a_n$ existe e $\lim_{n \to \infty}b_n$ não existe, então $\lim_{n \to \infty}(a_n + b_n)$ não existe. 

Quais são as afirmações verdadeiras?"
2005-36,"Quatro tarefas, A, B, C e D, estão prontas para serem executadas num único processador. Seus tempos de execução esperados são 9, 6, 3 e 5 segundos respectivamente. Em qual ordem eles devem ser executados para diminuir o tempo médio de resposta?"
2005-44,"Sejam T1 e T2 duas transações sendo processadas por um SGBD. Os termos lockR lockW correspondem a pedidos de tranca de leitura e gravação, respectivamente, e Unlock liberação de tranca. A, B e C são dados do banco de dados. O trecho a seguir é um pedaço do escalonamento de T1 e T2 definido pelo escalonador do SGBD (o trecho não está completo):
```
start(T1); lockR(T1, A); read (T1, A); start(T2);
lockR(T2, B); read (T2, B); lockW (T1, C); read(T1,C);
write(T1,C); unlock(T1, C); lockW (T1, B); lockW (T2, A); lockR(T2,C);
...
```
Considere as seguintes afirmações:

(I) O trecho mostra um exemplo de aplicação do protocolo 2PL (*two phase lock* ou tranca em 2 fases). \
(II) O trecho viola o protocolo 2PL. \
(III) O trecho mostra um exemplo em que há *deadlock* (impasse) entre T1 e T2. \
(IV) O trecho não tem *deadlock* entre T1 e T2. \
(V) Nada se pode afirmar. \
Estão corretas as afirmações:"
2006-57,"O código abaixo implementa uma função que calcula o MDC de dois números inteiros usando o algoritmo de Euclides:
```
   function mdc (int a, int b) 
   int temp, value;
   a := abs(a);
   b:= abs(b);
   if (a = 0) then
      value := b;    // b é o MDC
   else if (b = 0) then
      exceção;
      else
         repeat
            temp := b;
            b:= a mod b;
            a := temp;
         until (b = 0)
         value := a;
      end if;
   return value;
end mdc
```
Qual dos conjuntos de teste dados a seguir poderiam ser usados para atender ao critério de todos os ramos?"
2008-32,"Analise as seguintes afirmativas.

I. Uma arquitetura *multithreading* executa simultaneamente o código de diversos fluxos de instruções (*threads*). \
II. Em uma arquitetura VLIW, o controle da execução das várias instruções por ciclo de máquina é feito pelo compilador. \
III. Uma arquitetura superescalar depende de uma boa taxa de acerto do mecanismo de predição de desvio para obter um bom desempenho. \
IV. Os processadores vetoriais são um tipo de arquitetura SIMD. \
V. Um processador *dual-core* é mais eficiente em termos de consumo de energia do que dois processadores *single-core* de mesma tecnologia.

A  partir da análise, pode-se concluir que"
2008-54,"Um processador tem cinco estágios de *pipeline*. Suponha que cada uma das etapas do processador (busca, decodificação, execução, leitura ou escrita de dados em memória e escrita em registrador) seja executada em 5ns. \
O tempo total para que 5 instruções sejam executadas em *pipeline*, supondo que não haja dependência de dados entre as instruções é"
2009-26,"Considere uma arquitetura de memória com as seguintes características:
- Memória logicamente particionada em segmentos paginados.
- Endereços virtuais de 32 bits: 8 para segmentos, 11 para páginas, o restante para o endereçamento na página.
- Endereços físicos de 20 bits e páginas de 8KB.

Caso o particionamento lógico fosse o de paginação pura, a relação entre o número de páginas virtuais e o número de frames seria equivalente a:"
