id,enunciado,prompt,it1_comp_decomposicao,it1_comp_reconhecimento_padroes,it1_comp_abstracao,it1_comp_algoritmos,it1_comp_generalizacao
2002-33,"Professor Mac Sperto propôs o seguinte algoritmo de ordenação, chamado de Super Merge, similar ao merge sort: divida o vetor em 4 partes do mesmo tamanho (ao invés de 2, como é feito no merge sort). Ordene recursivamente cada uma das partes e depois intercale-as por um procedimento semelhante ao procedimento de intercalação do merge sort. Qual das alternativas abaixo é verdadeira?","
QUESTÃO:
Professor Mac Sperto propôs o seguinte algoritmo de ordenação, chamado de Super Merge, similar ao merge sort: divida o vetor em 4 partes do mesmo tamanho (ao invés de 2, como é feito no merge sort). Ordene recursivamente cada uma das partes e depois intercale-as por um procedimento semelhante ao procedimento de intercalação do merge sort. Qual das alternativas abaixo é verdadeira?
",True,True,False,True,True
2006-18,"Um algoritmo probabilístico $A$ resolve problemas de dois tipos:
- Problemas do tipo 1: os quais são resolvidos corretamente com probabilidade 3/4, e correspondem a 1/3 do total de problemas.
- Problemas do tipo 2: os quais são resolvidos corretamente com probabilidade 1/2, e correspondem a 2/3 do total de problemas.

Verifica-se, utilizando algum método determinístico, que a resposta encontrada pelo algoritmo está realmente correta. Qual a probabilidade de que o problema resolvido seja do tipo 1?","
QUESTÃO:
Um algoritmo probabilístico $A$ resolve problemas de dois tipos:
- Problemas do tipo 1: os quais são resolvidos corretamente com probabilidade 3/4, e correspondem a 1/3 do total de problemas.
- Problemas do tipo 2: os quais são resolvidos corretamente com probabilidade 1/2, e correspondem a 2/3 do total de problemas.

Verifica-se, utilizando algum método determinístico, que a resposta encontrada pelo algoritmo está realmente correta. Qual a probabilidade de que o problema resolvido seja do tipo 1?
",False,False,True,False,False
2010-21,"Um estudante de computação precisa resolver um problema bastante importante, que é executar as operações que estão descritas abaixo, cuja estrutura é uma pilha. Tão logo ele retire algum elemento desta pilha, estes deverão ser inseridos em uma fila, cuja entrada é pela esquerda e a saída, pela direita. 

Assinale a alternativa que contém a sequência correta de entrada dos elementos na fila.
```
PUSH P
PUSH E
PUSH R
PUSH T
PUSH O
POP
POP
PUSH S
PUSH O
PUSH L
POP
POP
POP
```","
QUESTÃO:
Um estudante de computação precisa resolver um problema bastante importante, que é executar as operações que estão descritas abaixo, cuja estrutura é uma pilha. Tão logo ele retire algum elemento desta pilha, estes deverão ser inseridos em uma fila, cuja entrada é pela esquerda e a saída, pela direita. 

Assinale a alternativa que contém a sequência correta de entrada dos elementos na fila.
```
PUSH P
PUSH E
PUSH R
PUSH T
PUSH O
POP
POP
PUSH S
PUSH O
PUSH L
POP
POP
POP
```
",False,False,False,True,False
2011-59,"Considere o algoritmo A* (A Estrela / A Star ) usado para a busca de uma trajetória (*pathfinding*), sendo aplicado sobre um mapa do tipo grade de ocupação, com custos de passagem associados a cada uma das células da grade e com a seguinte configuração de nodos listados no conjunto em aberto (*open-set*):
```
Nodo 1: g(1)=19; h(1)=6; L=6;  C=8
Nodo 2: g(2)=18; h(2)=4; L=7;  C=9
Nodo 3: g(3)=13; h(3)=5; L=5;  C=10
Nodo 4: g(4)=16; h(4)=3; L=9;  C=8
Nodo 5: g(5)=16; h(5)=3; L=10; C=7
```

onde “L” e “C” são a linha e coluna do respectivo nodo dentro da grade de ocupação.
A posição alvo a ser alcançada dentro da trajetória deste exemplo é definida pela linha e coluna L_Alvo=10 e C_Alvo=10, ou seja, a coordenada (10,10). “g(n)” representa o custo (gasto) do caminho percorrido e “h(n)” representa a estimativa heurística de custo até o alvo da célula em questão, sendo que “n” representa o número do nodo que identifica as células, e esta célula ocupa uma determinada posição (L,C) dentro da grade. 

Qual dos seguintes nodos será selecionado do conjunto em aberto como sendo o próximo nodo a ser avaliado, depois removido do conjunto de nodos em aberto (*open-set*) e colocado na lista de nodos já visitados (*closed-set*)?","
QUESTÃO:
Considere o algoritmo A* (A Estrela / A Star ) usado para a busca de uma trajetória (*pathfinding*), sendo aplicado sobre um mapa do tipo grade de ocupação, com custos de passagem associados a cada uma das células da grade e com a seguinte configuração de nodos listados no conjunto em aberto (*open-set*):
```
Nodo 1: g(1)=19; h(1)=6; L=6;  C=8
Nodo 2: g(2)=18; h(2)=4; L=7;  C=9
Nodo 3: g(3)=13; h(3)=5; L=5;  C=10
Nodo 4: g(4)=16; h(4)=3; L=9;  C=8
Nodo 5: g(5)=16; h(5)=3; L=10; C=7
```

onde “L” e “C” são a linha e coluna do respectivo nodo dentro da grade de ocupação.
A posição alvo a ser alcançada dentro da trajetória deste exemplo é definida pela linha e coluna L_Alvo=10 e C_Alvo=10, ou seja, a coordenada (10,10). “g(n)” representa o custo (gasto) do caminho percorrido e “h(n)” representa a estimativa heurística de custo até o alvo da célula em questão, sendo que “n” representa o número do nodo que identifica as células, e esta célula ocupa uma determinada posição (L,C) dentro da grade. 

Qual dos seguintes nodos será selecionado do conjunto em aberto como sendo o próximo nodo a ser avaliado, depois removido do conjunto de nodos em aberto (*open-set*) e colocado na lista de nodos já visitados (*closed-set*)?
",False,False,False,True,False
2009-32,"O que imprime o programa escrito em “C” abaixo?
```
int f (int a [], int n) {
   if (n <= 0) return 1;
   return a[n-1] * f (a, n-2) + 1;
}

int a [6] = { 0, 1, 2, 3, 4, 5};

#include <stdio.h>
int main() {
   printf (""%d\n"", f(a,6));
}
```","
QUESTÃO:
O que imprime o programa escrito em “C” abaixo?
```
int f (int a [], int n) {
   if (n <= 0) return 1;
   return a[n-1] * f (a, n-2) + 1;
}

int a [6] = { 0, 1, 2, 3, 4, 5};

#include <stdio.h>
int main() {
   printf (""%d\n"", f(a,6));
}
```
",True,False,False,True,False
2019-25,"Considere a seguinte função em C:
```

void funcao(int n){
   int i,j;
   for (i=1; i<=n; i++)
      for(j=1; j<log(i); j++)
         printf(“%d”,i+j)
}

```
A complexidade dessa função é:","
QUESTÃO:
Considere a seguinte função em C:
```

void funcao(int n){
   int i,j;
   for (i=1; i<=n; i++)
      for(j=1; j<log(i); j++)
         printf(“%d”,i+j)
}

```
A complexidade dessa função é:
",True,True,False,True,True
2015-51,"Considere o esquema de banco de dados relacional para uma clínica médica, em que as chaves primárias estão sublinhadas: PACIENTE (CPF, Nome, Sexo, DataDeNascimento); MEDICO (CRM, Nome, Sexo); CONSULTA (CPF, DataHora, CRM, Sala); MEDICAMENTO (Codigo, Nome, PrincipioAtivo); e PRESCRICAO (CPF, DataHora, Codigo, Posologia). Os atributos CPF em CONSULTA, CRM em CONSULTA, (CPF, DataHora) em PRESCRICAO e Codigo em PRESCRICAO são chaves estrangeiras que referenciam, respectivamente, PACIENTE, MEDICO, CONSULTA e MEDICAMENTO. A expressão SQL pertinente à consulta “qual o nome dos medicamentos prescritos mais de uma vez, por um particular médico para um mesmo paciente, restrito às consultas em que médico e paciente possuem o mesmo nome?” é:","
QUESTÃO:
Considere o esquema de banco de dados relacional para uma clínica médica, em que as chaves primárias estão sublinhadas: PACIENTE (CPF, Nome, Sexo, DataDeNascimento); MEDICO (CRM, Nome, Sexo); CONSULTA (CPF, DataHora, CRM, Sala); MEDICAMENTO (Codigo, Nome, PrincipioAtivo); e PRESCRICAO (CPF, DataHora, Codigo, Posologia). Os atributos CPF em CONSULTA, CRM em CONSULTA, (CPF, DataHora) em PRESCRICAO e Codigo em PRESCRICAO são chaves estrangeiras que referenciam, respectivamente, PACIENTE, MEDICO, CONSULTA e MEDICAMENTO. A expressão SQL pertinente à consulta “qual o nome dos medicamentos prescritos mais de uma vez, por um particular médico para um mesmo paciente, restrito às consultas em que médico e paciente possuem o mesmo nome?” é:
",True,False,True,False,False
2011-34,"Em linguagens orientadas a objetos, o polimorfismo refere-se à ligação tardia de uma chamada a uma ou várias implementações diferentes de um método em uma hierarquia de herança. \
Neste contexto, considere as seguintes classes descritas na Linguagem C++.
```
#include <iostream>
using namespace std;
class PosComp1 {
public:
  int Calcula()
  { return 1; };
};
class PosComp2 : public PosComp1 {
public:
  virtual int Calcula()
  { return 2; }
};
class PosComp3 : public PosComp2 {
public:
  int Calcula()
  { return 3; }
};
```
Se estas classes forem utilizadas a partir do programa a seguir 
```
int main() {
  int Result=0;
  PosComp1 *Objs[3];
  Objs[0] = new PosComp1();
  Objs[1] = new PosComp2();
  Objs[2] = new PosComp3();
  for (int i=0; i<3; i++)
    Result += Objs[i]->Calcula();
  cout << Result << endl;
  return 0;
}
```
a saída desse programa será:","
QUESTÃO:
Em linguagens orientadas a objetos, o polimorfismo refere-se à ligação tardia de uma chamada a uma ou várias implementações diferentes de um método em uma hierarquia de herança. \
Neste contexto, considere as seguintes classes descritas na Linguagem C++.
```
#include <iostream>
using namespace std;
class PosComp1 {
public:
  int Calcula()
  { return 1; };
};
class PosComp2 : public PosComp1 {
public:
  virtual int Calcula()
  { return 2; }
};
class PosComp3 : public PosComp2 {
public:
  int Calcula()
  { return 3; }
};
```
Se estas classes forem utilizadas a partir do programa a seguir 
```
int main() {
  int Result=0;
  PosComp1 *Objs[3];
  Objs[0] = new PosComp1();
  Objs[1] = new PosComp2();
  Objs[2] = new PosComp3();
  for (int i=0; i<3; i++)
    Result += Objs[i]->Calcula();
  cout << Result << endl;
  return 0;
}
```
a saída desse programa será:
",False,True,True,True,False
2012-27,"Devido ao volume de informações produzido atualmente e, principalmente, à necessidade de proteger várias dessas informações, técnicas de criptografia têm sido desenvolvidas ou aprimoradas. Uma abordagem criptográfica bastante simples é aquela que consiste na substituição de determinados símbolos por outros. O programa, a seguir, desenvolvido na linguagem C, possui uma função que realiza a criptografia de uma determinada cadeia de caracteres (string), referenciada através de um ponteiro de `char`.

```
#include <stdio.h>
void Cripto (char *inout, int i) {
  char *sibl, c;
  while (*inout) {
    sibl = inout+1;
    if (!sibl)
      break;
    if (*inout >= ’A’ && *inout <= ’Z’)
      *inout += i;
    c = *sibl;
    *sibl = *inout;
    *inout = c;
    inout = sibl+1;
  }
}
```

```
int main() {
  char str[30];
  int i;
  scanf(""%s %d"", str, &i);
  Cripto(str, i);
  printf(""%s\n"", str);
  return 0;
}
```
Assinale a alternativa que apresenta, corretamente, o resultado desse programa quando ele for executado com a entrada a seguir.
```
PosCOMP2012x 3
```","
QUESTÃO:
Devido ao volume de informações produzido atualmente e, principalmente, à necessidade de proteger várias dessas informações, técnicas de criptografia têm sido desenvolvidas ou aprimoradas. Uma abordagem criptográfica bastante simples é aquela que consiste na substituição de determinados símbolos por outros. O programa, a seguir, desenvolvido na linguagem C, possui uma função que realiza a criptografia de uma determinada cadeia de caracteres (string), referenciada através de um ponteiro de `char`.

```
#include <stdio.h>
void Cripto (char *inout, int i) {
  char *sibl, c;
  while (*inout) {
    sibl = inout+1;
    if (!sibl)
      break;
    if (*inout >= ’A’ && *inout <= ’Z’)
      *inout += i;
    c = *sibl;
    *sibl = *inout;
    *inout = c;
    inout = sibl+1;
  }
}
```

```
int main() {
  char str[30];
  int i;
  scanf(""%s %d"", str, &i);
  Cripto(str, i);
  printf(""%s\n"", str);
  return 0;
}
```
Assinale a alternativa que apresenta, corretamente, o resultado desse programa quando ele for executado com a entrada a seguir.
```
PosCOMP2012x 3
```
",False,False,False,True,False
2003-43,"Considere a seguinte tabela em uma base de dados relacional (chave primária sublinhada):

<code>Tabela1(<u>CodAluno,CodDisciplina,AnoSemestre,</u> NomeAluno, NomeDisciplina,
CodNota, DescricaoNota)</code>

Considere as seguintes dependências funcionais:
- `CodAluno` → `NomeAluno`
- `CodDisciplina` → `NomeDisciplina`
- (`CodAluno`,`CodDisciplina`,`AnoSemestre`) → `CodNota`
- (`CodAluno`,`CodDisciplina`,`AnoSemestre`) → `DescricaoNota`
- `CodNota` → `DescricaoNota`

Considerando as formas normais, qual das afirmativas abaixo se aplica:","
QUESTÃO:
Considere a seguinte tabela em uma base de dados relacional (chave primária sublinhada):

<code>Tabela1(<u>CodAluno,CodDisciplina,AnoSemestre,</u> NomeAluno, NomeDisciplina,
CodNota, DescricaoNota)</code>

Considere as seguintes dependências funcionais:
- `CodAluno` → `NomeAluno`
- `CodDisciplina` → `NomeDisciplina`
- (`CodAluno`,`CodDisciplina`,`AnoSemestre`) → `CodNota`
- (`CodAluno`,`CodDisciplina`,`AnoSemestre`) → `DescricaoNota`
- `CodNota` → `DescricaoNota`

Considerando as formas normais, qual das afirmativas abaixo se aplica:
",True,False,True,False,False
