id,enunciado
2002-27,"Suponha que $T$ seja uma árvore AVL inicialmente vazia, e considere a inserção dos elementos $10, 20, 30, 5, 15, 2$ em $T$, nesta ordem. Qual das sequências abaixo corresponde a um percurso de $T$ em pré-ordem:"
2002-30,"Considere um problema em que são dados 5 objetos com os seguintes pesos e valores:
$$
\begin{align*}
\text{pesos: } & (W_1, W_2, W_3, W_4, W_5) = (6, 10, 9, 5, 12) \\
\text{valores: } & (P_1, P_2, P_3, P_4, P_5) = (8, 5, 10, 15, 7)
\end{align*}
$$
Além disso, é dada uma mochila que suporta até 30 unidades de peso, para transportar os objetos. O objetivo do problema é preencher a mochila de tal forma que o valor total dos objetos a serem transportados seja o maior possível, mas sem exceder o limite de peso suportado pela mochila. Assuma que é permitido colocar fração de um objeto na mochila. Qual das seguintes alternativas corresponde ao valor máximo obtido no preenchimento da mochila:"
2002-33,"Professor Mac Sperto propôs o seguinte algoritmo de ordenação, chamado de Super Merge, similar ao merge sort: divida o vetor em 4 partes do mesmo tamanho (ao invés de 2, como é feito no merge sort). Ordene recursivamente cada uma das partes e depois intercale-as por um procedimento semelhante ao procedimento de intercalação do merge sort. Qual das alternativas abaixo é verdadeira?"
2002-35,Considere um sistema distribuído onde cada nó precisa obter um bloqueio (*lock*) antes de acessar qualquer serviço no sistema. Qual das estratégias a seguir não seria eficaz para evitar impasses (*deadlocks*)?
2002-36,"Uma árvore binária é declarada em C como
```
typedef struct no *apontador;
struct no {
         int valor;
         apontador esq, dir;
          };
```
onde `esq` e `dir` representam ligações para os filhos esquerdo e direito de um nó da árvore, respectivamente. Qual das seguintes alternativas é uma implementação correta da operação que inverte as posições dos filhos esquerdo e direito de um nó `p` da árvore, onde `t` é um apontador auxiliar."
2002-37,"No programa abaixo, escrito em Pascal, os parâmetros do procedimento `vr` são passados por valor.
```
program teste;
var x,y: integer;

  procedure vr(u,v: integer);
  begin
    u:=2*u;
    x:=u+v;
    u:=u-l;
  end;

begin
  x:=4;
  y:=2;
  vr(x,y);
  writeln(x);
end.
```
O valor de `x` impresso na última linha do programa é:"
2002-38,"A função abaixo computa a soma dos $n$ primeiros números inteiros não negativos:
```
function sum(n: integer) : integer;
begin
  if n=0 then sum:=0
  else --------------
end;
```
A parte que falta para completar a condição else é:"
2002-40,"Considere um grafo $G$ satisfazendo as seguintes propriedades:
- $G$ é conexo
- Se removermos qualquer aresta de $G$, o grafo obtido é desconexo.

Então é correto afirmar que o grafo $G$ é:"
2002-44,"Supondo a Relação `\text{PROJ} (PNO, Orçam)`, com chave primária `PNO`, a Relação `EMP (ENO, ENome, Cargo)` com chave primária `ENO`, e a Relação `DSG (ENO, PNO, Dur, Resp)`, com chave primária `{ENO, PNO}`, chave estrangeira `PNO` em relação a `PROJ` e chave estrangeira `ENO` em relação a `EMP`. Qual das expressões da álgebra relacional abaixo NÃO corresponde à seguinte consulta SQL:
```
SELECT ENome
FROM EMP, PROJ, DSG
WHERE EMP.ENO = DSG.ENO
       AND PROJ.PNO = DSG.PNO
       AND Dur > 36
```"
2002-53,"Considere uma cena representada no sistema de referência do universo (SRU), uma *window* definida pelo par de coordenadas (0,0)-(100,100) e uma *viewport* definida pelo par de coordenadas (20,30)-(300,100). Considere ainda que as coordenadas que definem *window* e *viewport* correspondem, respectivamente, aos limites inferior esquerdo e superior direito de ambas. Analise as afirmativas abaixo levando em consideração os conceitos clássicos de *window* e *viewport* e assinale a alternativa correta. \
I – *Window* e *viewport* estão definidas no SRU. \
II – No processo de mapeamento desta *window* para esta *viewport* haverá modificação na relação de aspecto. \
III – O mapeamento da *window* redefinida pelo par de coordenadas (0,0) – (50,50) para a mesma *viewport* (20,30)-(300,100) corresponde a uma operação de *zoom out* sobre o mesmo universo."
2003-26,"Considere o seguinte código para implementar exclusão mútua entre dois processos $i$ e $j$:
```
Processo Pi
  do
    while (turn != i) ; // entrada da seção crítica
          seção crítica
    turn = j;           // saída da seção crítica
          código restante
  while (1);
```
Em relação ao código acima, todas as afirmativas estão corretas, exceto:"
2003-28,"Considere o seguinte trecho de programa:
```
1. i:= 1;
2. while i <=n do
   begin
3. sum:= sum + a[i];
4. i:=i+ 1;
   end;
```

Considere que: 
 - $I$ representa a inicialização da variável `i:= 1` na linha 1; 
 - $T$ representa o teste da linha 2; 
 - $A$ representa os comandos da linha 3; 
 - $P$ representa o incremento na linha 4.

Qual é a expressão regular que representa todas as sequências de passos possíveis de serem executados por este trecho de programa?"
2003-34,"A função abaixo, escrita na linguagem C, quando executada para $n = 5$, faz quantas chamadas recursivas (excluindo a primeira chamada da função)?
```
int fat (int n)
{
    if (n == 1) return n;
    else return (n*fat(n-1));
}
```"
2003-35,"Qual é a opção que descreve a tarefa executada pelo seguinte algoritmo escrito em Pascal?
```
procedure fazalgo (var x, var y)
begin
  x := x + y;
  y := x - y;
  x := x - y;
end
```"
2003-36,"Para que faixa de valores da variável $x$ o seguinte segmento de código imprime a letra `C`?
```
if (x <= 200)
    if (x < 100)
        if (x < 0) printf(""A"")
        else printf(""B"")
    else printf(""C"")
else printf(""D"")
```"
2003-41," Considere as seguintes tabelas em uma base de dados relacional:
```
Departamento (CodDepto, NomeDepto)
Empregado (CodEmp, NomeEmp, CodDepto)
```
Deseja-se obter uma tabela na qual cada linha é a concatenação de uma linha da tabela Departamento com uma linha da tabela de Empregado. Caso um departamento não possua empregados, seu linha no resultado deve conter vazio (NULL) nos campos referentes ao empregado. A operação de álgebra relacional que deve ser aplicada para combinar estas duas tabelas é:"
2003-43,"Considere a seguinte tabela em uma base de dados relacional (chave primária sublinhada):

<code>Tabela1(<u>CodAluno,CodDisciplina,AnoSemestre,</u> NomeAluno, NomeDisciplina,
CodNota, DescricaoNota)</code>

Considere as seguintes dependências funcionais:
- `CodAluno` → `NomeAluno`
- `CodDisciplina` → `NomeDisciplina`
- (`CodAluno`,`CodDisciplina`,`AnoSemestre`) → `CodNota`
- (`CodAluno`,`CodDisciplina`,`AnoSemestre`) → `DescricaoNota`
- `CodNota` → `DescricaoNota`

Considerando as formas normais, qual das afirmativas abaixo se aplica:"
2003-44,"Considere as seguintes tabelas em uma base de dados relacional:
```
Departamento (CodDepto, NomeDepto)
Empregado (CodEmp, NomeEmp, CodDepto,Salario)
```
Considere a seguinte consulta escrita em SQL:
```
SELECT D.CodDepto,NomeDepto,SUM(E.Salario)
FROM Departamento D, Empregado E
WHERE D.CodDepto=E.CodDepto
GROUP BY D.CodDepto,NomeDepto
HAVING COUNT(*)>2 AND AVG(E.Salario)>40
```
A consulta acima obtém o seguinte resultado:"
2003-48,"Seja a seguinte linguagem, onde $\epsilon$ representa o string vazio e $$$ representa um marcador de fim de entrada:
$$
\begin{align*}
& S \to ABCD \\
& A \to a \mid \epsilon \\
& B \to a \mid \epsilon \\
& C \to c \mid \epsilon \\
& D \to S \mid c \mid \epsilon
\end{align*}
$$
É incorreto afirmar que:"
