id,edicao,numero,enunciado,alternativas,area_conhecimento,area,subarea,gabarito,atributo_rag,ehQuestaoProblema,comp_decomposicao,comp_reconhecimento_padroes,comp_abstracao,comp_algoritmos,comp_generalizacao
2002-30,2002,30,"Considere um problema em que são dados 5 objetos com os seguintes pesos e valores:
$$
\begin{align*}
\text{pesos: } & (W_1, W_2, W_3, W_4, W_5) = (6, 10, 9, 5, 12) \\
\text{valores: } & (P_1, P_2, P_3, P_4, P_5) = (8, 5, 10, 15, 7)
\end{align*}
$$
Além disso, é dada uma mochila que suporta até 30 unidades de peso, para transportar os objetos. O objetivo do problema é preencher a mochila de tal forma que o valor total dos objetos a serem transportados seja o maior possível, mas sem exceder o limite de peso suportado pela mochila. Assuma que é permitido colocar fração de um objeto na mochila. Qual das seguintes alternativas corresponde ao valor máximo obtido no preenchimento da mochila:","['a) 12.2', 'b) 21.5', 'c) 30.34', 'd) 38.83', 'e) 43.1']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,"Técnicas de Projeto de Algoritmos: Método da Força Bruta, Pesquisa Exaustiva, Algoritmo Guloso, Dividir e Conquistar, “Backtracking” e Heurísticas",D,"fundamentos da computacao - algoritmos e estrutura de dados - tecnicas de projeto de algoritmos: metodo da forca bruta, pesquisa exaustiva, algoritmo guloso, dividir e conquistar, “backtracking” e heuristicas",True,False,True,True,True,False
2002-33,2002,33,"Professor Mac Sperto propôs o seguinte algoritmo de ordenação, chamado de Super Merge, similar ao merge sort: divida o vetor em 4 partes do mesmo tamanho (ao invés de 2, como é feito no merge sort). Ordene recursivamente cada uma das partes e depois intercale-as por um procedimento semelhante ao procedimento de intercalação do merge sort. Qual das alternativas abaixo é verdadeira?","['a) Super Merge não está correto. Não é possível ordenar quebrando o vetor em 4 partes', 'b) Super Merge está correto, mas consome tempo O(*merge sort*)', 'c) Super Merge está correto, mas consome tempo maior que O(*merge sort*)', 'd) Super Merge está correto, mas consome tempo menor que O(*merge sort*)', 'e) Nenhuma das afirmações acima está correta']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,Algoritmos para Pesquisa e Ordenação,B,fundamentos da computacao - algoritmos e estrutura de dados - algoritmos para pesquisa e ordenacao,True,True,True,False,True,True
2002-35,2002,35,Considere um sistema distribuído onde cada nó precisa obter um bloqueio (*lock*) antes de acessar qualquer serviço no sistema. Qual das estratégias a seguir não seria eficaz para evitar impasses (*deadlocks*)?,"['a) Associar prioridades aos nós e criar filas de prioridades para cada serviço', 'b) Numerar os serviços e exigir que cada nó solicite os bloqueios dos serviços em ordem crescente', 'c) Instalar um serviço de detecção de impasses no sistema distribuído e reiniciar os nós que atinjam um impasse', 'd) Fazer com que cada nó reinicie sua execução se um pedido de bloqueio não é concedido após um longo tempo de espera O pedido de bloqueio é re-enviado após um tempo aleatório', 'e) Forçar cada nó a obter todos os bloqueios de que necessita no início de sua execução e reiniciar a execução se algum bloqueio não é concedido']",Fundamentos da Computação,Sistemas Operacionais,"Comunicação, Concorrência e Sincronização de Processos",A,"fundamentos da computacao - sistemas operacionais - comunicacao, concorrencia e sincronizacao de processos",True,False,False,True,False,False
2002-36,2002,36,"Uma árvore binária é declarada em C como
```
typedef struct no *apontador;
struct no {
         int valor;
         apontador esq, dir;
          };
```
onde `esq` e `dir` representam ligações para os filhos esquerdo e direito de um nó da árvore, respectivamente. Qual das seguintes alternativas é uma implementação correta da operação que inverte as posições dos filhos esquerdo e direito de um nó `p` da árvore, onde `t` é um apontador auxiliar.","['a)\n```\nt = p;\np->esq = p->dir;\np->dir = p->esq\n```', 'b) \n```\np->dir = t;\np->esq = p->dir;\np->dir = t\n```', 'c) \n```\np->esq = p->dir;\nt = p->esq;\np->dir = t\n```', 'd)\n```\nt = p->dir;\np->esq = p->dir;\np->dir = t\n```', 'e) \n```\nt = p->dir;\np->dir = p->esq;\np->esq = t\n```']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,"Árvores e suas Generalizações: Árvores Binárias, Árvores de Busca e Árvores Balanceadas",E,"fundamentos da computacao - algoritmos e estrutura de dados - arvores e suas generalizacoes: arvores binarias, arvores de busca e arvores balanceadas",True,False,False,False,True,False
2002-37,2002,37,"No programa abaixo, escrito em Pascal, os parâmetros do procedimento `vr` são passados por valor.
```
program teste;
var x,y: integer;

  procedure vr(u,v: integer);
  begin
    u:=2*u;
    x:=u+v;
    u:=u-l;
  end;

begin
  x:=4;
  y:=2;
  vr(x,y);
  writeln(x);
end.
```
O valor de `x` impresso na última linha do programa é:","['a) 4', 'b) 5', 'c) 7', 'd) 8', 'e) 10']",Fundamentos da Computação,Linguagens de Programação,Paradigmas de Linguagens de Programação,E,fundamentos da computacao - linguagens de programacao - paradigmas de linguagens de programacao,True,False,False,False,True,False
2002-38,2002,38,"A função abaixo computa a soma dos $n$ primeiros números inteiros não negativos:
```
function sum(n: integer) : integer;
begin
  if n=0 then sum:=0
  else --------------
end;
```
A parte que falta para completar a condição else é:","['a) `while n<>0 sum:=sum + sum(n+1)`', 'b) `sum:=n + sum(n)`', 'c) `sum:=(n-1) + sum(n-1)`', 'd) `sum:=n + sum(n-1)`', 'e) `sum:=(n-1) + sum(n)`']",Fundamentos da Computação,Algoritmos e Estrutura de Dados,Recursividade: Conceito e Implementação,D,fundamentos da computacao - algoritmos e estrutura de dados - recursividade: conceito e implementacao,True,False,True,False,True,False
2002-40,2002,40,"Considere um grafo $G$ satisfazendo as seguintes propriedades:
- $G$ é conexo
- Se removermos qualquer aresta de $G$, o grafo obtido é desconexo.

Então é correto afirmar que o grafo $G$ é:","['a) Um circuito', 'b) Não bipartido', 'c) Uma árvore', 'd) Hamiltoniano', 'e) Euleriano']",Fundamentos da Computação,Teoria dos Grafos,Conectividade,C,fundamentos da computacao - teoria dos grafos - conectividade,True,False,True,True,False,False
2002-44,2002,44,"Supondo a Relação `\text{PROJ} (PNO, Orçam)`, com chave primária `PNO`, a Relação `EMP (ENO, ENome, Cargo)` com chave primária `ENO`, e a Relação `DSG (ENO, PNO, Dur, Resp)`, com chave primária `{ENO, PNO}`, chave estrangeira `PNO` em relação a `PROJ` e chave estrangeira `ENO` em relação a `EMP`. Qual das expressões da álgebra relacional abaixo NÃO corresponde à seguinte consulta SQL:
```
SELECT ENome
FROM EMP, PROJ, DSG
WHERE EMP.ENO = DSG.ENO
       AND PROJ.PNO = DSG.PNO
       AND Dur > 36
```","['a) $\\pi_{\\text{ENome}} (\\text{PROJ} \\bowtie_{\\text{PNO}} ( \\text{EMP} \\bowtie_{ENO} \\sigma_{\\text{Dur} > 36} (\\text{DSG})))$', 'b) $\\pi_{\\text{ENome}} (\\text{PROJ} \\bowtie_{\\text{PNO}} ((\\pi_{\\text{ENome}}, ENO (\\text{EMP})) \\bowtie_{ENO} ( \\sigma_{\\text{Dur} > 36} (\\text{DSG}))))$', 'c) $\\pi_{\\text{ENome}} (\\text{PROJ} \\bowtie_{\\text{PNO}} (\\sigma_{\\text{Dur} > 36} (\\text{EMP} \\bowtie_{ENO} (\\text{DSG}) )))$', 'd) $\\pi_{\\text{ENome}} (\\sigma_{\\text{Dur} > 36} ((\\pi_{\\text{PNO}} (\\text{PROJ})) \\bowtie_{\\text{PNO}} ( \\text{EMP} \\bowtie_{ENO} \\text{DSG})))$', 'e) $\\pi_{\\text{ENome}} (\\text{PROJ} \\bowtie_{\\text{PNO}} ( \\text{EMP} \\bowtie_{ENO} \\sigma_{\\text{Dur} > 36} (\\pi \\text{Dur} (\\text{DSG}))))$']",Tecnologia de Computação,Banco de Dados,Linguagens de Consulta,E,tecnologia de computacao - banco de dados - linguagens de consulta,True,False,True,True,False,False
2002-53,2002,53,"Considere uma cena representada no sistema de referência do universo (SRU), uma *window* definida pelo par de coordenadas (0,0)-(100,100) e uma *viewport* definida pelo par de coordenadas (20,30)-(300,100). Considere ainda que as coordenadas que definem *window* e *viewport* correspondem, respectivamente, aos limites inferior esquerdo e superior direito de ambas. Analise as afirmativas abaixo levando em consideração os conceitos clássicos de *window* e *viewport* e assinale a alternativa correta. \
I – *Window* e *viewport* estão definidas no SRU. \
II – No processo de mapeamento desta *window* para esta *viewport* haverá modificação na relação de aspecto. \
III – O mapeamento da *window* redefinida pelo par de coordenadas (0,0) – (50,50) para a mesma *viewport* (20,30)-(300,100) corresponde a uma operação de *zoom out* sobre o mesmo universo.","['a) As alternativas I e II são verdadeiras', 'b) As alternativas I e III são falsas', 'c) Apenas a afirmativa III é verdadeira', 'd) As afirmativas II e III são verdadeiras', 'e) As alternativas I e II são falsas']",Tecnologia de Computação,Computação Gráfica,Transformação entre Sistemas de Coordenadas 2D e Recorte,B,tecnologia de computacao - computacao grafica - transformacao entre sistemas de coordenadas 2d e recorte,True,True,False,True,False,False
2003-26,2003,26,"Considere o seguinte código para implementar exclusão mútua entre dois processos $i$ e $j$:
```
Processo Pi
  do
    while (turn != i) ; // entrada da seção crítica
          seção crítica
    turn = j;           // saída da seção crítica
          código restante
  while (1);
```
Em relação ao código acima, todas as afirmativas estão corretas, exceto:","['a) A implementação garante exclusão mútua.', 'b) A implementação garante progresso.', 'c) Os processos fazem espera ativa.', 'd) Exige alternância estrita.', 'e) Um processo bloqueia o outro mesmo não estando na seção crítica.']",Fundamentos da Computação,Sistemas Operacionais,"Comunicação, Concorrência e Sincronização de Processos",B,"fundamentos da computacao - sistemas operacionais - comunicacao, concorrencia e sincronizacao de processos",True,False,True,True,True,False
